run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,FieldConditionModifier,StageTemperatureSum,comment,region_name
1,True,fixed,auto1,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_2017-01-01_to_2018-12-31,,,,,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,historic_runs,DE406
2,True,fixed,auto1,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_MOL.json,site.json,False,spreewasserN,spreewasserN/hist_2017-01-01_to_2018-12-31,,,,,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,historic_runs,DE409
3,True,fixed,auto1,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LOS.json,site.json,False,spreewasserN,spreewasserN/hist_2017-01-01_to_2018-12-31,,,,,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,historic_runs,DE40C
4,True,fixed,auto1,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_2024-01-01_to_2025-10-31,,,,,,2024-09-01,2025-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,historic_runs,DE406
5,True,fixed,auto1,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_MOL.json,site.json,False,spreewasserN,spreewasserN/hist_2024-01-01_to_2025-10-31,,,,,,2024-09-01,2025-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,historic_runs,DE409
6,True,fixed,auto1,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LOS.json,site.json,False,spreewasserN,spreewasserN/hist_2024-01-01_to_2025-10-31,,,,,,2024-09-01,2025-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,historic_runs,DE40C
7,True,fixed,auto1,SM_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_2017-01-01_to_2018-12-31,,,,,,2018-03-01,2018-09-30,False,False,True,True,True,False,False,True,False,True,False,False,False,,,historic_runs,DE406
8,True,fixed,auto1,SM_sfix_hauto,sim_spreewasser.json,crop_spreewasser_MOL.json,site.json,False,spreewasserN,spreewasserN/hist_2017-01-01_to_2018-12-31,,,,,,2018-03-01,2018-09-30,False,False,True,True,True,False,False,True,False,True,False,False,False,,,historic_runs,DE409
9,True,fixed,auto1,SM_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LOS.json,site.json,False,spreewasserN,spreewasserN/hist_2017-01-01_to_2018-12-31,,,,,,2018-03-01,2018-09-30,False,False,True,True,True,False,False,True,False,True,False,False,False,,,historic_runs,DE40C
10,True,fixed,auto1,SM_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_2024-01-01_to_2025-10-31,,,,,,2025-03-01,2025-09-30,False,False,True,True,True,False,False,True,False,True,False,False,False,,,historic_runs,DE406
11,True,fixed,auto1,SM_sfix_hauto,sim_spreewasser.json,crop_spreewasser_MOL.json,site.json,False,spreewasserN,spreewasserN/hist_2024-01-01_to_2025-10-31,,,,,,2025-03-01,2025-09-30,False,False,True,True,True,False,False,True,False,True,False,False,False,,,historic_runs,DE409
12,True,fixed,auto1,SM_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LOS.json,site.json,False,spreewasserN,spreewasserN/hist_2024-01-01_to_2025-10-31,,,,,,2025-03-01,2025-09-30,False,False,True,True,True,False,False,True,False,True,False,False,False,,,historic_runs,DE40C